order,aic,bic
"[0, 2, 3]",1181.8041169617154,1192.4199583623456
"[1, 2, 3]",1182.2365791885356,1195.5063809393232
"[0, 1, 3]",1183.9230892025264,1194.5768455789746
"[2, 2, 3]",1184.600230867573,1200.523992968518
"[1, 1, 3]",1185.509162048008,1198.8263575185683
"[2, 1, 3]",1187.4851944957188,1203.4658290603911
"[3, 1, 3]",1189.241673827138,1207.8857474859224
"[3, 2, 3]",1189.3855374943632,1207.9632599454658
"[1, 2, 2]",1190.9142347651257,1201.5679911415739
"[1, 0, 3]",1191.2508289768457,1207.287801983617
